filename,systems,kind,aliases
acid-reflux-what-your-body-is-trying-to-tell-you.md,digestive,condition,GERD|heartburn|acid reflux|reflux|LPR|silent reflux|Barrett's esophagus|indigestion|regurgitation|hiatal hernia
acne-more-than-skin-deep.md,skin|endocrine|mental-health,condition,acne vulgaris|pimples|breakouts|blackheads|whiteheads|cystic acne|hormonal acne|zits
actinic-keratosis.md,skin,condition,AK|solar keratosis|sun spots (precancerous)|rough skin patches|squamous cell carcinoma precursor|field cancerization
acute-bronchitis.md,respiratory,condition,chest cold|bronchitis|cough|chest infection|walking pneumonia|whooping cough (differential)
adaptogens-stress-resilience.md,mental-health|endocrine,remedy,ashwagandha|rhodiola|ginseng|HPA axis|cortisol|adrenal fatigue|burnout|adaptogenic herbs|stress herbs
age-spots-liver-spots-sun-spots.md,skin,condition,age spots|liver spots|sun spots|solar lentigines|hyperpigmentation|melasma
alcohol-health-current-research.md,cardiovascular|liver-detox,exposure,alcohol|drinking|alcohol use disorder|AUD|binge drinking|moderate drinking|alcoholism|FASD|cirrhosis|alcohol withdrawal|delirium tremens
alcohol-health-science-guide.md,liver-detox|reproductive,exposure,alcohol|drinking|alcoholism|alcohol use disorder|binge drinking|hangover|fetal alcohol syndrome|sobriety|alcohol-free|moderate drinking myth
allergies.md,immune|respiratory|skin,condition,hay fever|allergic rhinitis|food allergy|anaphylaxis|hives|eczema|atopic dermatitis|IgE|histamine|oral allergy syndrome
aloe-vera-traditional-to-modern-evidence.md,skin|digestive,remedy,aloe vera|aloe gel|aloe latex|burn remedy|natural skin treatment|acemannan|aloe juice|herbal remedy
alzheimers-prevention-guide.md,neurological|cardiovascular,condition,Alzheimer's|dementia|cognitive decline|memory loss|MIND diet|amyloid plaques|cognitive impairment|brain health
angular-cheilitis.md,skin|endocrine|immune,condition,cracked mouth corners|perleche|angular stomatitis|cheilosis|commissural cheilitis|mouth corner cracks
antibiotics-vs-natural-approaches.md,immune|digestive,remedy,antibiotics|antibiotic resistance|natural antimicrobials|herbal antibiotics|probiotics|gut microbiome|infection treatment|garlic|oregano oil|echinacea
applied-kinesiology-biblical-response.md,whole-body,evaluation,applied kinesiology|muscle testing|AK|energy medicine|chiropractic|New Age|biblical discernment|EGW|Adventist
applied-kinesiology.md,whole-body,evaluation,applied kinesiology|muscle testing|AK|alternative diagnostics|energy medicine|chiropractic|pseudoscience
artificial-sweeteners.md,endocrine|digestive,nutrition,artificial sweeteners|aspartame|sucralose|stevia|sugar substitutes|non-nutritive sweeteners|Splenda|erythritol|diet soda
autism-and-asperger-syndrome.md,neurological|mental-health|digestive,condition,autism|ASD|Asperger syndrome|autism spectrum disorder|neurodivergent|stimming|sensory processing|masking
baking-soda-baking-powder-handout.md,digestive|cardiovascular|musculoskeletal,nutrition,baking soda|baking powder|sodium bicarbonate|sodium aluminum sulfate|leavening agents|saleratus|antacid
baking-soda-powder-rising-concerns.md,digestive|cardiovascular|musculoskeletal,nutrition,baking soda|baking powder|sodium bicarbonate|aluminum|leavening agents|saleratus|Ellen White|antacid
battle-creek-to-blue-zones-soy.md,reproductive|endocrine,nutrition,soy|tofu|soy milk|isoflavones|phytoestrogens|tempeh|edamame|Adventist Health Study|soy protein
before-birth-matters-prenatal-health.md,reproductive,foundations,pregnancy|prenatal|preconception|folic acid|FASD|teratogens|pregnancy nutrition|birth defects
beyond-medicine-cabinet-pain-fever.md,musculoskeletal|neurological,remedy,pain relief|fever|hydrotherapy|NSAIDs|acetaminophen|natural pain remedies|willow bark|capsaicin|PEACE and LOVE
biofilms-and-biofilm-disruptors.md,immune,evaluation,biofilms|biofilm disruptors|quorum sensing|chronic infection|EPS matrix|dental plaque|systemic biofilm|NAC|antibiotic resistance
bipolar-disorder-whole-person-support.md,mental-health|digestive|endocrine,condition,bipolar disorder|manic depression|mania|hypomania|mood swings|mood stabilizer|cyclothymia|rapid cycling
blood-type-diet.md,whole-body,evaluation,blood type diet|ABO blood type|lectins|Eat Right 4 Your Type|D'Adamo|blood group diet|agglutination
bodys-natural-detoxification-systems.md,liver-detox|digestive,foundations,detox|detoxification|liver detox|cleanse|glymphatic system|colon cleanse|sulforaphane|Phase I Phase II liver|NAC
breaking-free-quitting-smoking.md,respiratory|cardiovascular,exposure,smoking cessation|quitting smoking|nicotine addiction|tobacco|vaping|e-cigarettes|NRT|nicotine withdrawal|varenicline
